address,categories/0,cid,city,locatedIn,latitude,longitude,neighborhood,phone,postalCode,rank,searchPageUrl,state,street,store_name,totalScore,url,website
"Part of Lot 4054, Phase 5A, Jalan Kinrara 6, Bandar Kinrara, 47180 Puchong, Selangor, Malaysia",Restaurant,1.71E+19,Puchong,Petronas Bandar Kinrara 2 (Masnadi),3.0366149,101.6548005,"Part of Lot 4054, Phase 5A, Jalan Kinrara 6",+60 3-8074 0617,47180,50,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Selangor,"Part of Lot 4054, Phase 5A, Jalan Kinrara 6",McDonald’s Petronas Bandar Kinrara DT,3.8,"https://www.google.com/maps/place/McDonald%E2%80%99s+Petronas+Bandar+Kinrara+DT/@3.0366149,101.6526118,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bba9b9087bd:0xedede555beb14d5f!8m2!3d3.0366149!4d101.655082?hl=en",https://www.mcdonalds.com.my/
"Lot PT21552 & PT21553, Mukim, Persiaran Perdana, Bandar Sri Damansara, 52200 Kuala Lumpur, Malaysia",Restaurant,1.39E+19,Kuala Lumpur,,3.1950487,101.6077681,"Lot PT21552 & PT21553, Mukim, Persiaran Perdana",+60 3-6274 1559,52200,35,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Selangor,"Lot PT21552 & PT21553, Mukim, Persiaran Perdana",McDonald's Bandar Sri Damansara DT,4.1,"https://www.google.com/maps/place/McDonald's+Bandar+Sri+Damansara+DT/@3.1950487,101.6055794,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc45f911dd003d:0xc1231cc3d5fa56bd!8m2!3d3.1950357!4d101.6077824?hl=en",https://www.mcdonalds.com.my/
"Lot GF32 & FF31, Waterfront ParkCity, Persiaran Residen, Desa Parkcity, 52200 Kuala Lumpur, Malaysia",Restaurant,1.64E+18,Kuala Lumpur,The Waterfront @ ParkCity,3.1875517,101.6272556,"Lot GF32 & FF31, Waterfront ParkCity, Persiaran Residen",+60 3-6261 0971,52200,34,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot GF32 & FF31, Waterfront ParkCity, Persiaran Residen",McDonald's Desa ParkCity DT,3.7,"https://www.google.com/maps/place/McDonald's+Desa+ParkCity+DT/@3.1875517,101.6250669,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc49d1c0157b87:0x16cecbf67712d946!8m2!3d3.1875517!4d101.6272556?hl=en",https://www.mcdonalds.com.my/
"5 Lebuh Bandar Utama, Jalan PJU 6/2, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",Fast food restaurant,1.44E+19,Petaling Jaya,,3.137376,101.609523,"5 Lebuh Bandar Utama, Jalan PJU 6/2",+60 3-7726 5099,47800,49,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Selangor,"5 Lebuh Bandar Utama, Jalan PJU 6/2",McDonald's Bandar Utama DT,4.1,"https://www.google.com/maps/place/McDonald's+Bandar+Utama+DT/@3.137376,101.6073343,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4ecc03aaaaab:0xc7a6ca215714eaeb!8m2!3d3.1374342!4d101.6095689?hl=en",https://www.mcdonalds.com.my/
"D/A Petronas Servis Stesen, Jalan Kolam Ayer Lama, Lot 36904 (PT 27423, Taman Dato Ahmad Razali, 68000 Ampang Jaya, Selangor, Malaysia",Restaurant,1.58E+19,Ampang Jaya,PETRONAS - Ampang Jaya,3.1600137,101.7541539,"D/A Petronas Servis Stesen, Jalan Kolam Ayer Lama, Lot 36904 (PT 27423",+60 3-4265 1703,68000,48,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Selangor,"D/A Petronas Servis Stesen, Jalan Kolam Ayer Lama, Lot 36904 (PT 27423",McDonald's Petronas Ampang DT,4.1,"https://www.google.com/maps/place/McDonald's+Petronas+Ampang+DT/@3.1600137,101.7519652,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc3707db0b81bd:0xdb581cadfc1676d4!8m2!3d3.1600079!4d101.7541867?hl=en",https://www.mcdonalds.com.my/
"1, Jalan SG 1/6, Taman Sri Gombak, 68100 Batu Caves, Selangor, Malaysia",Restaurant,1.47E+19,Batu Caves,,3.2376612,101.6991922,"1, Jalan SG 1/6",+60 3-6188 9587,68100,47,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Selangor,"1, Jalan SG 1/6",McDonald's Sri Gombak,3.8,"https://www.google.com/maps/place/McDonald's+Sri+Gombak/@3.2376612,101.6970035,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4781b32b0e4f:0xcc2d2b7313fa3b64!8m2!3d3.2376612!4d101.6991922?hl=en",https://www.mcdonalds.com.my/
"Lot 517, 276 & 277, Batu 7 Lebuhraya Lingkaran Tengah 2, MRR2, Mukim, 53300, Selangor, Malaysia",Restaurant,1.81E+19,Ampang Jaya,Shell,3.2023798,101.7603998,"Lot 517, 276 & 277, Batu 7 Lebuhraya Lingkaran Tengah 2, MRR2, Mukim",+60 3-4161 7604,53300,46,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Selangor,"Lot 517, 276 & 277, Batu 7 Lebuhraya Lingkaran Tengah 2, MRR2, Mukim",McDonald's Ulu Kelang,4,"https://www.google.com/maps/place/McDonald's+Ulu+Kelang/@3.2023798,101.7582111,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc39ce511f3b2d:0xfb3e354315464d8d!8m2!3d3.2023919!4d101.76039?hl=en",https://www.mcdonalds.com.my/
"No. 1 & 2, Jalan 54, Desa Jaya, Kepong, 52100, Selangor, Malaysia",Restaurant,1.49E+18,Sungai Buloh,,3.2135131,101.6327842,"No. 1 & 2, Jalan 54, Desa Jaya",+60 3-6261 4381,52100,45,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Selangor,"No. 1 & 2, Jalan 54, Desa Jaya",McDonald's Kepong,3.6,"https://www.google.com/maps/place/McDonald's+Kepong/@3.2135131,101.6305955,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc466c81ee88f5:0x14bb1b50ae1e730f!8m2!3d3.2135131!4d101.6327842?hl=en",https://www.mcdonalds.com.my/
"Lot PT, 2536, Jln Lingkaran Tengah 2, Ampang Hilir, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Fast food restaurant,6.53E+18,Kuala Lumpur,,3.1520012,101.7452457,"Lot PT, 2536, Jln Lingkaran Tengah 2",,55000,33,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot PT, 2536, Jln Lingkaran Tengah 2",McDonald’s Shell Tasik Ampang DT,3,"https://www.google.com/maps/place/McDonald%E2%80%99s+Shell+Tasik+Ampang+DT/@3.1520012,101.743057,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc3740d20f7691:0x5a94c4babd44e595!8m2!3d3.1520012!4d101.7452457?hl=en",http://www.mcdonalds.com.my/
"Lot PT 1, Batu 6 1/2, Jln Kepong, Kawasan Perusahaan Kepong, 52000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Fast food restaurant,1.25E+19,Kuala Lumpur,BHPetrol Jalan Kepong,3.2080987,101.6535065,"Lot PT 1, Batu 6 1/2, Jln Kepong",+60 3-6250 0090,52000,32,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot PT 1, Batu 6 1/2, Jln Kepong",McDonald's BHP Jalan Kepong,3.8,"https://www.google.com/maps/place/McDonald's+BHP+Jalan+Kepong/@3.2080987,101.6513178,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4747b868c03d:0xae06e44e4696fbc3!8m2!3d3.2081821!4d101.6534908?hl=en",https://www.mcdonalds.com.my/
"5 1/4, M01 & M02, Kompleks Idaman, No. 40-50, Jalan 2/21D, Medan Idaman, Batu, Jalan Gombak, 53000 Kuala Lumpur, Malaysia",Restaurant,4.44E+18,Kuala Lumpur,Kompleks Idaman,3.2127273,101.7115652,"5 1/4, M01 & M02, Kompleks Idaman, No. 40-50, Jalan 2/21D, Medan Idaman, Batu, Jalan Gombak",+60 3-4031 6251,53000,44,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Federal Territory of Kuala Lumpur,"5 1/4, M01 & M02, Kompleks Idaman, No. 40-50, Jalan 2/21D, Medan Idaman, Batu, Jalan Gombak",McDonald's Gombak,3.7,"https://www.google.com/maps/place/McDonald's+Gombak/@3.2127273,101.7093765,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc387489d1a515:0x3da2cbb4824ecb01!8m2!3d3.2127377!4d101.7115454?hl=en",https://www.mcdonalds.com.my/
"Lot No. B1-03 & B1-E-03, MyTOWN Shopping Centre, 6, Jalan Cochrane, Section 90, 55100 Kuala Lumpur, Malaysia",Restaurant,2.31E+18,Kuala Lumpur,MyTOWN Shopping Centre,3.1341707,101.7228674,"Lot No. B1-03 & B1-E-03, MyTOWN Shopping Centre, 6, Jalan Cochrane",+60 3-2732 2566,55100,43,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Federal Territory of Kuala Lumpur,"Lot No. B1-03 & B1-E-03, MyTOWN Shopping Centre, 6, Jalan Cochrane",McDonald's MyTOWN Mall,3.7,"https://www.google.com/maps/place/McDonald's+MyTOWN+Mall/@3.1341707,101.7206787,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc363c2be87359:0x1fff32b8c30fcb44!8m2!3d3.1341707!4d101.7228674?hl=en",https://www.mcdonalds.com.my/
"Lot PT 7430, HSD 111856, KM 5, 5, Jln Cheras, 56000 Cheras, Federal Territory of Kuala Lumpur, Malaysia",Fast food restaurant,2.17E+18,Cheras,Shell,3.1047118,101.7328821,"Lot PT 7430, HSD 111856, KM 5, 5, Jln Cheras",+60 3-9133 1724,56000,31,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot PT 7430, HSD 111856, KM 5, 5, Jln Cheras",McDonald's Shell Jalan Cheras DT,4,"https://www.google.com/maps/place/McDonald's+Shell+Jalan+Cheras+DT/@3.1047118,101.7306934,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc35e6330a0a3b:0x1e168517dcc2b45a!8m2!3d3.1047067!4d101.7328774?hl=en",https://www.mcdonalds.com.my/
"Lot 5946, Jalan Lingkaran Tengah II, off, Karak Expy, 53300, Selangor, Malaysia",Fast food restaurant,8.07E+18,,Shell,3.2410402,101.7161655,"Lot 5946, Jalan Lingkaran Tengah II, off, Karak Expy",+60 3-6187 6904,53300,42,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Selangor,"Lot 5946, Jalan Lingkaran Tengah II, off, Karak Expy",McDonald's Shell Karak,4,"https://www.google.com/maps/place/McDonald's+Shell+Karak/@3.2410402,101.7139768,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc389ae74c4573:0x6ff08ce4fe4bc22d!8m2!3d3.2409623!4d101.7161618?hl=en",https://www.mcdonalds.com.my/
"PT 8938, Jalan Sentul/Batu Caves, Mukim Setapak, Sentul, 51100 Kuala Lumpur, Malaysia",Restaurant,1.66E+18,Kuala Lumpur,Shell,3.2062302,101.6890066,"PT 8938, Jalan Sentul/Batu Caves, Mukim Setapak",+60 16-212 7692,51100,30,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"PT 8938, Jalan Sentul/Batu Caves, Mukim Setapak",McDonald’s @ Shell Jalan Sentul,4.2,"https://www.google.com/maps/place/McDonald%E2%80%99s+@+Shell+Jalan+Sentul/@3.2062302,101.6868179,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc47d45d74da91:0x1701cc4e64bfcc30!8m2!3d3.2062273!4d101.6890351?hl=en",https://www.mcdonalds.com.my/
"Lot G-13, Ground Floor, Alpha Angle Complex, Jalan R1, Wangsa Maju, 53000, Federal Territory of Kuala Lumpur, Malaysia",Restaurant,1.47E+19,Kuala Lumpur,AEON Mall Alpha Angle,3.2021198,101.7341702,"Lot G-13, Ground Floor, Alpha Angle Complex, Jalan R1",+60 3-4131 1340,53000,41,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z/data=!3m1!4b1?hl=en",Federal Territory of Kuala Lumpur,"Lot G-13, Ground Floor, Alpha Angle Complex, Jalan R1",McDonald's Alpha Angle,3.4,"https://www.google.com/maps/place/McDonald's+Alpha+Angle/@3.2021198,101.7319815,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc383c8df81aa5:0xcba233823c4d3ac5!8m2!3d3.2021198!4d101.7341702?hl=en",https://www.mcdonalds.com.my/
"8KM, Kuala Lumpur-Seremban Expy, 57000 Seri Kembangan, Federal Territory of Kuala Lumpur, Malaysia             8KM, Lebuhraya Kuala Lumpur - Seremban, 57000 Seri Kembangan, Wilayah Persekutuan Kuala Lumpur",Restaurant,4.48E+18,Seri Kembangan,Petron Sg Besi Toll Southbound,3.047043,101.7057989,"8KM, Kuala Lumpur-Seremban Expy",+60 3-8942 3932,57000,29,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"8KM, Kuala Lumpur-Seremban Expy",McDonald's Petron Seremban-KL Highway DT,3.9,"https://www.google.com/maps/place/McDonald's+Petron+Seremban-KL+Highway+DT/@3.047043,101.7036102,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bc33c42af5f:0x3e3d021e58bb8860!8m2!3d3.047043!4d101.7057989?hl=en",https://www.mcdonalds.com.my/
"Lot No. G-08, Ground Floor, Pearl Point Shopping Complex, 5th Mile, Old Klang Road, 58000, Federal Territory of Kuala Lumpur, Malaysia",Restaurant,1.99E+18,Kuala Lumpur,Floor G · Pearl Point Shopping Mall,3.085057,101.673586,"Lot No. G-08, Ground Floor, Pearl Point Shopping Complex, 5th Mile, Old Klang Road, 58000",+60 3-7971 0196,,28,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot No. G-08, Ground Floor, Pearl Point Shopping Complex, 5th Mile, Old Klang Road, 58000",McDonald's Pearl Point DT,3.7,"https://www.google.com/maps/place/McDonald's+Pearl+Point+DT/@3.085057,101.6713973,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bfa03163619:0x1b8e6a86e3958135!8m2!3d3.085057!4d101.673586?hl=en",https://www.mcdonalds.com.my/
"Lot PT 10098, Jalan Sentul Pasar, Mukim Setapak Dalam, 51000 Kuala Lumpur, Malaysia",Restaurant,9.71E+18,Kuala Lumpur,,3.2020383,101.6900092,"Lot PT 10098, Jalan Sentul Pasar",+60 3-2702 9214,51000,27,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot PT 10098, Jalan Sentul Pasar",McDonald's Sentul Point DT,3.7,"https://www.google.com/maps/place/McDonald's+Sentul+Point+DT/@3.2020383,101.6878205,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4756e6b636e5:0x86b68de128c6277a!8m2!3d3.2020268!4d101.6899704?hl=en",https://www.mcdonalds.com.my/
"Lot 1, Level 1, BUSANA, Menara MARA, 232, Jalan Tuanku Abdul Rahman, 50100 Kuala Lumpur, Malaysia",Restaurant,1.35E+19,Kuala Lumpur,Floor 1 · MARA Digital Kuala Lumpur,3.1579504,101.695637,"Lot 1, Level 1, BUSANA, Menara MARA, 232, Jalan Tuanku Abdul Rahman",+60 3-2202 8034,50100,26,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot 1, Level 1, BUSANA, Menara MARA, 232, Jalan Tuanku Abdul Rahman",McDonald's M2 Mall,4.1,"https://www.google.com/maps/place/McDonald's+M2+Mall/@3.1579504,101.6934483,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc498b96bc25c1:0xbc04f7c0a184a033!8m2!3d3.1579504!4d101.695637?hl=en",https://www.mcdonalds.com.my/
"No. 1, Block D, Plaza Mont Kiara, Jalan Bukit Kiara, Malaysia, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Restaurant,1.57E+19,Kuala Lumpur,Plaza Mont Kiara,3.1657202,101.6522016,"No. 1, Block D, Plaza Mont Kiara, Jalan Bukit Kiara",+60 3-6203 3759,50480,25,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"No. 1, Block D, Plaza Mont Kiara, Jalan Bukit Kiara",McDonald's Mont Kiara,3.8,"https://www.google.com/maps/place/McDonald's+Mont+Kiara/@3.1657202,101.6500129,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc49d17879b125:0xd94a555c95779a6f!8m2!3d3.1657202!4d101.6522016?hl=en",http://www.mcdonalds.com.my/
"No 63 & 63, 1, Jalan Radin Tengah, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Fast food restaurant,1.51E+19,Kuala Lumpur,,3.0688147,101.691739,"No 63 & 63, 1, Jalan Radin Tengah",+60 3-9054 5927,57000,24,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"No 63 & 63, 1, Jalan Radin Tengah",McDonald's Sri Petaling,3.8,"https://www.google.com/maps/place/McDonald's+Sri+Petaling/@3.0688147,101.6895503,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4a893ba562eb:0xd15bd8506639e3df!8m2!3d3.0688147!4d101.691739?hl=en",http://www.mcdonalds.com.my/
"No. 2, 2A & B, Jalan Tun Mohd Fuad 2, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Malaysia",Restaurant,6.71E+18,Kuala Lumpur,,3.1404965,101.6292082,"No. 2, 2A & B, Jalan Tun Mohd Fuad 2",+60 3-7722 1767,60000,23,"https://www.google.com/maps/search/McDonald's+in+kl/@3.1409351,101.6235505,12z?hl=en",Federal Territory of Kuala Lumpur,"No. 2, 2A & B, Jalan Tun Mohd Fuad 2",McDonald's TTDI (Taman Tun Dr Ismail),4,"https://www.google.com/maps/place/McDonald's+TTDI+(Taman+Tun+Dr+Ismail)/@3.1404965,101.6270195,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc493af77c7bd7:0x5d2621d698e37a6e!8m2!3d3.1405194!4d101.6292002?hl=en",https://www.mcdonalds.com.my/
