address,categories/0,cid,city,locatedIn,latitude,longitude,neighborhood,orderBy/0/name,orderBy/0/url,phone,postalCode,rank,searchPageUrl,state,street,store_name,totalScore,url,website
"Lot 2, Jalan 20/1, Seksyen 20, 40300 Shah Alam, Selangor, Malaysia",Pizza restaurant,7.74E+18,Shah Alam,,3.056414,101.5418645,"Lot 2, Jalan 20/1",,,+60 3-5542 5130,40300,86,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Lot 2, Jalan 20/1",Pizza Hut Seksyen 20,3.8,"https://www.google.com/maps/place/Pizza+Hut+Seksyen+20/@3.056414,101.5396758,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4d6989b6702f:0x6b5e67cae9d957db!8m2!3d3.056414!4d101.5418645?hl=en",https://www.pizzahut.com.my/en/home
"Level 7, Tower 1, Vsquare @ PJ City Centre, Jalan Utara PJS 52 46200 Petaling Jaya Selangor MY, Jln Utara, Petaling Jaya, Selangor, Malaysia",Pizza restaurant,1.36E+17,Petaling Jaya,Floor 7 · Hisniaga Sdn Bhd,3.1073402,101.640184,"Level 7, Tower 1, Vsquare @ PJ City Centre, Jalan Utara PJS 52 46200 Petaling Jaya Selangor MY, Jln Utara",,,+60 1-300-88-2525,,57,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Level 7, Tower 1, Vsquare @ PJ City Centre, Jalan Utara PJS 52 46200 Petaling Jaya Selangor MY, Jln Utara",Pizza Hut Restaurants Sdn Bhd,2.9,"https://www.google.com/maps/place/Pizza+Hut+Restaurants+Sdn+Bhd/@3.1073402,101.6379953,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bbce381c6e7:0x1e3fd8375237e82!8m2!3d3.1073402!4d101.640184?hl=en",https://www.pizzahut.com.my/
"Paradigm Mall, Level 2, Lot 2F-15, No.1, Jalan SS 7/26a, Ss 3, 47301 Petaling Jaya, Selangor, Malaysia",Pizza restaurant,6.62E+18,Petaling Jaya,Floor 2 · Paradigm Mall,3.1054798,101.5962289,"Paradigm Mall, Level 2, Lot 2F-15, No.1, Jalan SS 7/26a",,,+60 1-300-88-2525,47301,85,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Paradigm Mall, Level 2, Lot 2F-15, No.1, Jalan SS 7/26a",Pizza Hut PARADIGM MALL,2.9,"https://www.google.com/maps/place/Pizza+Hut+PARADIGM+MALL/@3.1054798,101.5940402,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4c19b397f8c5:0x5bd69d8ed4f6d615!8m2!3d3.1054798!4d101.5962289?hl=en",https://www.pizzahut.com.my/
"No. 33, Jalan Sb Indah 1/2a, Taman Sungai Besi Indah, 43300 Seri Kembangan, Selangor, Malaysia",Pizza restaurant,1.33E+18,Seri Kembangan,,3.027103,101.7246523,"No. 33, Jalan Sb Indah 1/2a",,,+60 1-300-88-2525,43300,56,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"No. 33, Jalan Sb Indah 1/2a",Pizza Hut Delivery (PHD) BALAKONG,3.9,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+BALAKONG/@3.027103,101.7224636,17z/data=!3m1!4b1!4m5!3m4!1s0x31cdcab6b84bbfff:0x1278185e12483744!8m2!3d3.0271084!4d101.7246527?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"No 21 & 23, Jalan Anggerik Vanilla, Kota Kemuning, 40000 Shah Alam, Selangor, Malaysia",Pizza restaurant,1.80E+19,Shah Alam,,3.0048861,101.5347753,"No 21 & 23, Jalan Anggerik Vanilla",,,+60 1-300-88-2525,40000,84,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"No 21 & 23, Jalan Anggerik Vanilla",Pizza Hut KOTA KEMUNING (Curbside Pickup Available),3.7,"https://www.google.com/maps/place/Pizza+Hut+KOTA+KEMUNING+(Curbside+Pickup+Available)/@3.0048861,101.5325866,17z/data=!3m1!4b1!4m5!3m4!1s0x31cdb32e9b4c4bdd:0xfa48b82711a0185e!8m2!3d3.004879!4d101.5347779?hl=en",https://www.pizzahut.com.my/
"Ground Floor, No.10, 2/12, Jalan Wawasan Ampang, Bandar Baru Ampang, 68000 Ampang, Selangor, Malaysia",Pizza restaurant,1.79E+19,Ampang Jaya,,3.146499,101.7661,"Ground Floor, No.10, 2/12, Jalan Wawasan Ampang",,,+60 1-300-88-2525,68000,83,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Ground Floor, No.10, 2/12, Jalan Wawasan Ampang",Pizza Hut Delivery (PHD) BANDAR BARU AMPANG,4,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+BANDAR+BARU+AMPANG/@3.146499,101.7639113,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc37a759988265:0xf8e28aa8c386bdd4!8m2!3d3.146499!4d101.7661?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"20, Jalan 2/12, Baru Selayang, 68100 Batu Caves, Selangor, Malaysia",Pizza restaurant,9.74E+18,Batu Caves,,3.2568408,101.6577171,"20, Jalan 2/12",,,+60 1-300-88-2525,68100,55,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"20, Jalan 2/12",Pizza Hut Delivery (PHD) SELAYANG,4.4,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+SELAYANG/@3.2568408,101.6555284,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc46d93ca4015f:0x872a441ea8fbf68c!8m2!3d3.2568515!4d101.6577345?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"Jalan Prima 10, Taman Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Pizza restaurant,2.77E+18,Kuala Lumpur,,3.213105,101.6438673,Jalan Prima 10,,,+60 12-233 0333,52100,54,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Federal Territory of Kuala Lumpur,Jalan Prima 10,Pizza Hut Kepong,3.6,"https://www.google.com/maps/place/Pizza+Hut+Kepong/@3.213105,101.6416786,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4640cfede153:0x2678be1693506a14!8m2!3d3.2130909!4d101.6439026?hl=en",http://www.pizzahut.com.my/
"Ground Floor, Vista Shop, No. Q – 006, Jalan PJU 10/2b, Damansara Damai, 47830 Petaling Jaya, Selangor, Malaysia",Pizza restaurant,1.54E+18,Petaling Jaya,,3.1951201,101.5932401,"Ground Floor, Vista Shop, No. Q – 006, Jalan PJU 10/2b",,,+60 1-300-88-2525,47830,53,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Ground Floor, Vista Shop, No. Q – 006, Jalan PJU 10/2b",Pizza Hut Delivery (PHD) DAMANSARA DAMAI,3.8,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+DAMANSARA+DAMAI/@3.1951201,101.5910514,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc45f4d27f8c87:0x1554ed287c0bd780!8m2!3d3.1951201!4d101.5932401?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"Lot G 39 Ground Floor IOI Mall, Off, Jalan Puchong, Bandar Puchong Jaya, 47100 Puchong, Selangor, Malaysia",Pizza restaurant,1.27E+19,Puchong,Floor G · IOI Mall Puchong,3.0446064,101.6185013,"Lot G 39 Ground Floor IOI Mall, Off, Jalan Puchong",,,+60 1-300-88-2525,47100,82,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Lot G 39 Ground Floor IOI Mall, Off, Jalan Puchong",Pizza Hut IOI MALL,5,"https://www.google.com/maps/place/Pizza+Hut+IOI+MALL/@3.0446064,101.6163126,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bdc9dd45ecd:0xb0376e4932d4b621!8m2!3d3.0446064!4d101.6185013?hl=en",https://www.pizzahut.com.my/
"Tesco, Lot 8, Dataran Pandan Prima, 68100 Ampang Jaya, Selangor, Malaysia",Pizza restaurant,3.21E+17,Ampang Jaya,Lotus's Ampang,3.1439713,101.742291,"Tesco, Lot 8",,,+60 1-300-88-2525,68100,52,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Tesco, Lot 8",Pizza Hut Lotus's Ampang,3.5,"https://www.google.com/maps/place/Pizza+Hut+Lotus's+Ampang/@3.1439713,101.7401023,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc37822860745d:0x47323b97e46877e!8m2!3d3.1439713!4d101.742291?hl=en",https://www.pizzahut.com.my/
"Lot 1, Shah Alam Extreme Park, Jalan Lompar 13/37, Section 13, 40100 Shah Alam, Selangor, Malaysia",Pizza restaurant,9.67E+18,Shah Alam,,3.0867471,101.5420741,"Lot 1, Shah Alam Extreme Park, Jalan Lompar 13/37, Section 13",,,+60 1-300-88-2525,40100,81,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Lot 1, Shah Alam Extreme Park, Jalan Lompar 13/37, Section 13",Pizza Hut Delivery (PHD) EXTREME PARK,3.9,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+EXTREME+PARK/@3.0867471,101.5398854,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4dc928434f8d:0x86386c1bebda685a!8m2!3d3.0867471!4d101.5420741?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"22, Jalan Damai Utama 2, Taman Damai Utama, 47180 Puchong, Selangor, Malaysia",Pizza restaurant,1.13E+19,Puchong,,3.0337513,101.6651052,"22, Jalan Damai Utama 2",,,+60 1-300-88-2525,47180,51,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"22, Jalan Damai Utama 2",Pizza Hut Delivery (PHD) BANDAR KINRARA (Curbside Pickup Available),3.7,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+BANDAR+KINRARA+(Curbside+Pickup+Available)/@3.0337513,101.6629165,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bf5a69cd181:0x9d41d9f284fb0b49!8m2!3d3.0337506!4d101.665074?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"1, Jalan USJ 9/3, Usj 9, 47620 Subang Jaya, Selangor, Malaysia",Pizza restaurant,7.42E+18,Subang Jaya,,3.0438229,101.5832511,"1, Jalan USJ 9/3",,,+60 1-300-88-2525,47620,80,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"1, Jalan USJ 9/3",Pizza Hut Delivery (PHD) USJ 9 (Curbside Pickup Available),3.6,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+USJ+9+(Curbside+Pickup+Available)/@3.0438229,101.5810624,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4dff03dd2897:0x6701b4cacaab0af3!8m2!3d3.0438229!4d101.5832511?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"Lot G-32 & G-33, Radia, Persiaran Tebar Layar, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia",Pizza restaurant,8.21E+18,Shah Alam,"Radia Bukit Jelutong, Bukit Jelutong Corner Unit with Pool and Mosque View",3.1020186,101.5360858,"Lot G-32 & G-33, Radia, Persiaran Tebar Layar",,,+60 1-300-88-2525,40150,79,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Lot G-32 & G-33, Radia, Persiaran Tebar Layar",Pizza Hut FCD Bukit Jelutong,3.1,"https://www.google.com/maps/place/Pizza+Hut+FCD+Bukit+Jelutong/@3.1020186,101.5338971,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4db5613b57bf:0x71f39d7c0c149be4!8m2!3d3.1020186!4d101.5360858?hl=en",https://www.pizzahut.com.my/
